seed,alpha,N,method,lam,lp_feasible,rho,lp_time,gamma,cl_violation,cl_worst_residual
1070,1.0,10,DCM,0.7,True,0.5091898542433161,0.008821784999781812,1.0,,
1070,1.0,10,DCM,0.75,True,0.4588649300742835,0.008426728999438637,1.0,,
1070,1.0,10,DCM,0.8,True,0.40854000582079153,0.008122384000671445,1.0,,
1070,1.0,10,DCM,0.85,True,0.35821508283954734,0.008157649000168021,1.0,,
1070,1.0,10,DCM,0.9,True,0.3078901504846967,0.008405191999372619,1.0,0.0,-0.32481003983556034
1070,1.0,10,DCM,0.95,True,0.2575652351065491,0.00868685200020991,1.0,,
1070,1.0,10,DCM,1.0,True,0.20861031399036636,0.008688489999258309,1.0,,
1070,1.0,10,ICM-noSI,0.7,True,0.5101208494786375,0.013113408999743115,1.0,,
1070,1.0,10,ICM-noSI,0.75,True,0.4599977831358277,0.015943731000334083,1.0,,
1070,1.0,10,ICM-noSI,0.8,True,0.40987471800302017,0.012985831000150938,1.0,,
1070,1.0,10,ICM-noSI,0.85,True,0.35975166986926976,0.016944091000368644,1.0,,
1070,1.0,10,ICM-noSI,0.9,True,0.30962860773030876,0.016442746999928204,1.0,0.0,-0.32645150600734807
1070,1.0,10,ICM-noSI,0.95,True,0.25950554444974216,0.021832753000126104,1.0,,
1070,1.0,10,ICM-noSI,1.0,True,0.21053740951585867,0.021925443000327505,1.0,,
1070,1.0,10,ICM,0.7,True,0.5109785419718316,0.012262416000339726,1.0,,
1070,1.0,10,ICM,0.75,True,0.4606351116286736,0.014060498000617372,1.0,,
1070,1.0,10,ICM,0.8,True,0.41029167031380726,0.013058184999863442,1.0,,
1070,1.0,10,ICM,0.85,True,0.3599482496698921,0.01485785200020473,1.0,,
1070,1.0,10,ICM,0.9,True,0.30960481377483345,0.014897375999680662,1.0,0.0,-0.3257133295286212
1070,1.0,10,ICM,0.95,True,0.25926138336781734,0.014041535000615113,1.0,,
1070,1.0,10,ICM,1.0,True,0.209045086241043,0.013457050999932108,1.0,,
1087,1.0,10,DCM,0.7,True,0.49926573741670494,0.008984086000054958,1.0,,
1087,1.0,10,DCM,0.75,True,0.45049278911345625,0.00861222399998951,1.0,,
1087,1.0,10,DCM,0.8,True,0.401719839888497,0.008550595000087924,1.0,,
1087,1.0,10,DCM,0.85,True,0.35294688887989095,0.008549932999812881,1.0,,
1087,1.0,10,DCM,0.9,True,0.30417393694230055,0.009142296999925748,1.0,0.0,-0.30371584008016117
1087,1.0,10,DCM,0.95,True,0.25540099745034883,0.008756881000408612,1.0,,
1087,1.0,10,DCM,1.0,True,0.20662804898638756,0.008814627999527147,1.0,,
1087,1.0,10,ICM-noSI,0.7,True,0.5063262130825595,0.021348197999941476,1.0,,
1087,1.0,10,ICM-noSI,0.75,True,0.45756371570259835,0.019450394000159577,1.0,,
1087,1.0,10,ICM-noSI,0.8,True,0.40880121849734996,0.017609440999876824,1.0,,
1087,1.0,10,ICM-noSI,0.85,True,0.3600387206946094,0.022353292999468977,1.0,,
1087,1.0,10,ICM-noSI,0.9,True,0.3112762185304399,0.02264541200020176,1.0,0.0,-0.30829620575769023
1087,1.0,10,ICM-noSI,0.95,True,0.26251372873539347,0.02432083199983026,1.0,,
1087,1.0,10,ICM-noSI,1.0,True,0.21375123148425998,0.022408648000237008,1.0,,
1087,1.0,10,ICM,0.7,True,0.5091443007426834,0.014731661999576318,1.0,,
1087,1.0,10,ICM,0.75,True,0.45869659698865145,0.01610276100018382,1.0,,
1087,1.0,10,ICM,0.8,True,0.4082488919532344,0.01770604600005754,1.0,,
1087,1.0,10,ICM,0.85,True,0.3578011909454588,0.017692387000352028,1.0,,
1087,1.0,10,ICM,0.9,True,0.3073534924450813,0.017257812000025297,1.0,0.0,-0.3046575501347779
1087,1.0,10,ICM,0.95,True,0.25690579093415494,0.019191421999494196,1.0,,
1087,1.0,10,ICM,1.0,True,0.20659483469975704,0.017439037999793072,1.0,,
1104,1.0,10,DCM,0.7,True,0.45984543204742184,0.01720465600010357,1.0,,
1104,1.0,10,DCM,0.75,True,0.40726119953097867,0.015726958000414015,1.0,,
1104,1.0,10,DCM,0.8,True,0.3546769642271681,0.011931721000109974,1.0,,
1104,1.0,10,DCM,0.85,True,0.30209273763594735,0.01134241900035704,1.0,,
1104,1.0,10,DCM,0.9,True,0.25141598816913424,0.01055139100026281,1.0,0.0,-0.23329665575347758
1104,1.0,10,DCM,0.95,True,0.2011969884012322,0.011510555999848293,1.0,,
1104,1.0,10,DCM,1.0,True,0.15185084030784374,0.012235036999300064,1.0,,
1104,1.0,10,ICM-noSI,0.7,True,0.5050249292186223,0.010809704999701353,1.0,,
1104,1.0,10,ICM-noSI,0.75,True,0.45489093173060474,0.010450556000250799,1.0,,
1104,1.0,10,ICM-noSI,0.8,True,0.40475694362271064,0.01041541100039467,1.0,,
1104,1.0,10,ICM-noSI,0.85,True,0.3546229463365676,0.010690761000660132,1.0,,
1104,1.0,10,ICM-noSI,0.9,True,0.30455934334205575,0.009820471000239195,1.0,0.0,-0.2254001616924428
1104,1.0,10,ICM-noSI,0.95,True,0.25491749039960576,0.009820510000281502,1.0,,
1104,1.0,10,ICM-noSI,1.0,True,0.2059697500953395,0.009730857999784348,1.0,,
1104,1.0,10,ICM,0.7,True,0.5097126387866668,0.01354887800061988,1.0,,
1104,1.0,10,ICM,0.75,True,0.46019337671009586,0.014256434000344598,1.0,,
1104,1.0,10,ICM,0.8,True,0.41067410528511633,0.013676024999767833,1.0,,
