trial,id_feasible,t_star,assumption_holds,sdp_feasible,rho,audit_ok,audit_max_eig,kappa,r_star,c_star,c_delta,r_star_capped
0,True,0.5434575673513866,True,True,0.005319381373079623,True,-2.205483960709964e-06,0.888671875,3.1415926535897927,3.2263369351056173,0.9217517054259761,True
1,True,0.5345467035047399,True,True,0.005371530668710633,True,-2.574758025904178e-06,0.8388671875,3.1415926535897927,3.2252638055807483,0.87377815337475,True
2,True,0.16950789165821586,True,True,0.005318194512432676,True,-1.956245075790397e-06,0.890625,3.1415926535897927,3.236997209831324,0.9231290668644487,True
3,True,0.302157754978641,True,True,0.005291227341170685,True,-1.9541853118823505e-06,0.888671875,3.1415926535897927,3.2307037222502855,0.9217511454897704,True
4,True,0.33784092024253454,True,True,0.005423532949324548,True,-3.1374596005315225e-06,0.892578125,3.1415926535897927,3.2325697396336666,0.9245073118232426,True
5,True,0.36052147178001176,True,True,0.005343081580924768,True,-2.5380697775689853e-06,0.8896484375,3.1415926535897927,3.2351714183521145,0.9224397640431794,True
6,True,0.15429396762397296,True,True,0.005374625601590538,True,-2.646068499090326e-06,0.8955078125,3.1415926535897927,3.2197202129787743,0.9307352829102199,True
7,True,0.22056389264526907,True,True,0.005331703117144719,True,-2.333451309982637e-06,0.890625,3.1415926535897927,3.2259931359608998,0.9231296046130621,True
8,True,0.5389022821433561,True,True,0.005339190130805905,True,-2.467250804299992e-06,0.8955078125,3.1415926535897927,3.2277672428948168,0.9265741924759295,True
9,True,0.09498624577317745,True,True,0.005541496976913043,True,-4.0344082524318425e-06,0.8935546875,3.1415926535897927,3.2236696787001535,0.9294345621297742,True
