method,time,n_var,feasible,n,m,N,s_A,gen_mode,seed,n_con
LS,0.0003827260006801225,18,True,3,3,10,9,entry,11,
Tube-MPC,0.09687691399813048,52,True,3,3,10,9,entry,11,
DCM,0.025313748999906238,55,True,3,3,10,9,entry,11,69.0
ICM,0.050099300999136176,433,True,3,3,10,9,entry,11,449.0
SMI,0.28511603999868385,36,True,3,3,10,9,entry,11,
LS,0.0002395409974269569,18,True,3,3,10,9,entry,12,
Tube-MPC,0.011860996997711482,52,True,3,3,10,9,entry,12,
DCM,0.024959898997622076,55,True,3,3,10,9,entry,12,69.0
ICM,0.05629064499953529,433,True,3,3,10,9,entry,12,449.0
SMI,0.27189781599736307,36,True,3,3,10,9,entry,12,
LS,0.0003057729991269298,18,True,3,3,10,9,entry,13,
Tube-MPC,0.015031415001431014,52,True,3,3,10,9,entry,13,
DCM,0.058674257998063695,55,False,3,3,10,9,entry,13,69.0
ICM,0.06460232300014468,433,True,3,3,10,9,entry,13,449.0
SMI,0.21941760800109478,36,True,3,3,10,9,entry,13,
LS,0.0005616189991997089,18,True,3,3,20,9,entry,11,
Tube-MPC,0.026661258001695387,82,True,3,3,20,9,entry,11,
DCM,0.08993623800051864,85,False,3,3,20,9,entry,11,129.0
ICM,0.06927758100209758,643,True,3,3,20,9,entry,11,689.0
SMI,0.1926536329992814,36,True,3,3,20,9,entry,11,
LS,0.0001576590002514422,18,True,3,3,20,9,entry,12,
Tube-MPC,0.009869645000435412,82,True,3,3,20,9,entry,12,
DCM,0.047838635997322854,85,False,3,3,20,9,entry,12,129.0
ICM,0.0648019350010145,643,True,3,3,20,9,entry,12,689.0
SMI,0.20487720999881276,36,True,3,3,20,9,entry,12,
LS,0.00015591700139339082,18,True,3,3,20,9,entry,13,
Tube-MPC,0.009644169997045537,82,True,3,3,20,9,entry,13,
DCM,0.04996084999947925,85,False,3,3,20,9,entry,13,129.0
ICM,0.12047762499787495,643,True,3,3,20,9,entry,13,689.0
SMI,0.20026421600050526,36,True,3,3,20,9,entry,13,
LS,0.00017562799985171296,18,True,3,3,50,9,entry,11,
Tube-MPC,0.012380991000100039,172,True,3,3,50,9,entry,11,
DCM,0.10991353500139667,175,False,3,3,50,9,entry,11,309.0
ICM,0.12731958999938797,1273,True,3,3,50,9,entry,11,1409.0
SMI,0.2329129429999739,36,True,3,3,50,9,entry,11,
LS,0.00017990500055020675,18,True,3,3,50,9,entry,12,
Tube-MPC,0.012199148997751763,172,True,3,3,50,9,entry,12,
DCM,0.09680095599833294,175,False,3,3,50,9,entry,12,309.0
ICM,0.17512061600064044,1273,True,3,3,50,9,entry,12,1409.0
SMI,0.26448659200104885,36,True,3,3,50,9,entry,12,
LS,0.00034905199936474673,18,True,3,3,50,9,entry,13,
Tube-MPC,0.020941185000992846,172,True,3,3,50,9,entry,13,
DCM,0.1747346390002349,175,False,3,3,50,9,entry,13,309.0
ICM,0.24845083900072495,1273,True,3,3,50,9,entry,13,1409.0
SMI,0.39658530700035044,36,True,3,3,50,9,entry,13,
LS,0.00018889900093199685,18,True,3,3,100,9,entry,11,
Tube-MPC,0.018194852000306128,322,True,3,3,100,9,entry,11,
DCM,0.29146704400045564,325,False,3,3,100,9,entry,11,609.0
ICM,0.3228501889971085,2323,True,3,3,100,9,entry,11,2609.0
