Template,$\varepsilon$,ID feas.,$s_\mathcal{X}$,Coverage,Encl.,$\lambda^\star$,LP feas.
per entry,0.02,100.0,0.011914694824794682,39.0625,0.05626773090572787,0.0546875,100.0
per entry,0.05,100.0,0.004718628584247678,50.0,0.07411388543163684,0.1044921875,100.0
per entry,0.1,100.0,0.004312198037438464,50.31250000000001,0.07439552024271759,0.10498046875,100.0
per entry,0.2,100.0,0.002773465581935102,51.87500000000001,0.0756524375373754,0.10498046875,100.0
per entry,0.4,100.0,0.001080446305327545,53.125,0.07656159203459462,0.10546875,100.0
residual PCA,0.02,87.5,0.013122884414278438,35.0,0.06642463064001777,0.10993303571428571,100.0
residual PCA,0.05,100.0,0.010932645025354421,35.625,0.06819742210103485,0.12939453125,100.0
residual PCA,0.1,100.0,0.009861212780407604,32.1875,0.09224440774331982,0.228515625,100.0
residual PCA,0.2,100.0,0.006130177856502126,33.125,0.15610823964170617,0.4501953125,100.0
residual PCA,0.4,100.0,0.0030523569306952322,38.125,0.2066557833097046,0.60693359375,100.0
random,0.02,100.0,0.01351474515280318,37.8125,0.07198102825216002,0.076171875,100.0
random,0.05,100.0,0.009247436298120415,36.25,0.09651069768142637,0.14208984375,100.0
random,0.1,100.0,0.00582768758507463,40.0,0.13861135436193267,0.25341796875,100.0
random,0.2,100.0,0.0047438526188678274,39.6875,0.14505912999562373,0.267578125,100.0
random,0.4,100.0,0.0034664950035982025,40.9375,0.14669522314118602,0.27490234375,100.0
per row,0.02,100.0,0.0134126025326995,42.5,0.0633109006282015,0.0771484375,100.0
per row,0.05,100.0,0.00699180543643631,43.75,0.10105411353957063,0.1845703125,100.0
per row,0.1,100.0,0.004689245208742876,44.6875,0.10282182617436798,0.189453125,100.0
per row,0.2,100.0,0.0033215795481986274,46.25,0.10406009055063493,0.18798828125,100.0
per row,0.4,100.0,0.0021736251226184477,45.3125,0.10688876091810487,0.19287109375,100.0
